time ECI_x ECI_y ECI_z ECI_sun_x ECI_sun_y ECI_sun_z
1656953400 -1080.436011 -4707.072687 -4984.253737 -33452003.616029 136129664.969352 59015804.604415
1656953500 -1093.668854 -4129.084153 -5471.585272 -33454861.254062 136129074.320612 59015548.547324
1656953600 -1093.918384 -3502.075873 -5893.783772 -33457718.880643 136128483.620281 59015292.467866
1656953700 -1081.196181 -2833.538465 -6245.901292 -33460576.493490 136127892.868830 59015036.366247
1656953800 -1055.665366 -2131.431301 -6523.821935 -33463434.094827 136127302.065800 59014780.242266
1656953900 -1017.638000 -1404.092209 -6724.303005 -33466291.682393 136126711.211657 59014524.096127
1656954000 -967.570861 -660.140088 -6845.008651 -33469149.258483 136126120.305928 59014267.927623
1656954100 -906.060020 91.619798 -6884.532542 -33472006.820781 136125529.349091 59014011.736963
1656954200 -833.833799 842.296398 -6842.412222 -33474864.371620 136124938.340663 59013755.523937
1656954300 -751.744817 1583.009205 -6719.133660 -33477721.908702 136124347.281121 59013499.288752
1656954400 -660.760397 2304.989315 -6516.126531 -33480579.434285 136123756.169997 59013243.031204
1656954500 -561.952303 2999.675034 -6235.750712 -33483436.946090 136123165.007762 59012986.751498
1656954600 -456.484805 3658.810826 -5881.272359 -33486294.446413 136122573.793941 59012730.449429
1656954700 -345.602287 4274.539678 -5456.832027 -33489151.932938 136121982.529014 59012474.125203
1656954800 -230.615198 4839.496881 -4967.401179 -33492009.408015 136121391.212495 59012217.778611
1656954900 -112.885763 5346.895906 -4418.731552 -33494866.869310 136120799.844865 59011961.409861
1656955000 6.187800 5790.612963 -3817.292272 -33497724.317934 136120208.425897 59011705.018855
1656955100 125.187307 6165.263039 -3170.199406 -33500581.755088 136119616.955340 59011448.605483
1656955200 242.691162 6466.269075 -2485.136908 -33503439.178457 136119025.433674 59011192.169954
1656955300 357.291726 6689.923868 -1770.266445 -33506296.590336 136118433.860424 59010935.712062
1656955400 467.612108 6833.440213 -1034.133765 -33509153.988446 136117842.236061 59010679.232012
1656955500 572.323568 6894.991751 -285.564143 -33512011.375047 136117250.560119 59010422.729600
1656955600 670.161820 6873.740699 466.442612 -33514868.747839 136116658.833073 59010166.205033
1656955700 759.943365 6769.853496 1212.825478 -33517726.109154 136116067.054440 59009909.658102
1656955800 840.580249 6584.503069 1944.572624 -33520583.456679 136115475.224699 59009653.089014
1656955900 911.094245 6319.857203 2652.836721 -33523440.792707 136114883.343375 59009396.497564
1656956000 970.629085 5979.054430 3329.043823 -33526298.114978 136114291.410937 59009139.883954
1656956100 1018.461554 5566.165415 3965.003401 -33529155.425713 136113699.426924 59008883.247985
1656956200 1054.010408 5086.143902 4553.008818 -33532012.722635 136113107.391808 59008626.589862
1656956300 1076.843738 4544.763729 5085.935370 -33534870.008074 136112515.305106 59008369.909375
1656956400 1086.684102 3948.548297 5557.326471 -33537727.279715 136111923.167298 59008113.206732
1656956500 1083.411839 3304.687570 5961.474388 -33540584.539853 136111330.977909 59007856.481726
1656956600 1067.066280 2620.950815 6293.487865 -33543441.786210 136110738.737410 59007599.734564
1656956700 1037.845007 1905.588809 6549.352001 -33546299.021043 136110146.445334 59007342.965041
1656956800 996.101264 1167.235036 6725.974762 -33549156.242055 136109554.102157 59007086.173365
1656956900 942.339373 414.798405 6821.224075 -33552013.451579 136108961.707395 59006829.359325
1656957000 877.208626 -342.642161 6833.952034 -33554870.647297 136108369.261528 59006572.523130
1656957100 801.495201 -1095.949544 6764.008406 -33557727.831507 136107776.764081 59006315.664574
